age,annual_income,existing_loans,loan_amount,debt_to_income,late_payments_last_year,credit_history_years,employment_years,creditworthy
62,28488.31,1,6207.69,0.2179,1,10,32,1
59,34330.52,0,29373.32,0.0,2,17,18,1
61,36201.54,0,8172.04,0.0,1,10,14,1
48,42036.97,2,9644.5,0.4588,0,24,32,1
27,33614.39,2,7173.54,0.4268,1,3,9,0
29,45501.88,2,29387.84,1.2917,0,17,0,0
28,35672.73,1,19423.24,0.5445,3,18,11,0
32,55520.6,4,7507.26,0.5409,0,12,28,0
54,60465.94,1,23849.85,0.3944,1,3,16,0
53,46628.14,0,16605.59,0.0,1,29,3,1
43,51939.4,2,17058.03,0.6568,4,9,28,0
44,76767.84,1,12244.18,0.1595,2,28,6,1
57,27410.95,1,9004.67,0.3285,1,21,12,0
55,26497.98,2,17702.13,1.3361,1,4,4,0
64,55424.97,1,10639.3,0.192,0,2,5,1
60,74198.14,2,29534.05,0.7961,1,15,33,0
42,41092.52,1,4845.67,0.1179,0,25,6,1
47,70902.51,0,27289.25,0.0,0,7,27,1
55,46446.51,2,14109.45,0.6075,0,23,9,1
21,34786.69,0,17392.69,0.0,0,6,3,1
55,30139.61,1,21665.26,0.7188,3,18,2,0
57,54441.2,0,9958.01,0.0,0,13,24,1
34,31275.61,2,21913.99,1.4013,2,14,22,0
23,46219.15,1,500.0,0.0108,3,16,26,0
21,68751.98,0,9240.08,0.0,1,20,13,1
25,40398.29,2,7607.5,0.3766,0,0,31,1
46,64710.14,1,4971.95,0.0768,0,5,22,1
34,26781.85,1,13280.36,0.4959,0,26,2,1
59,36991.36,4,18086.0,1.9556,0,22,34,0
47,23892.84,1,20621.28,0.863,0,14,12,0
29,46094.95,1,16927.01,0.3672,3,11,33,0
35,56701.17,1,9674.45,0.1706,2,20,23,1
35,46127.81,1,17952.13,0.3892,2,19,0,0
46,63405.75,1,15994.29,0.2522,2,1,11,0
62,33762.31,0,22488.45,0.0,0,4,7,1
33,48380.14,2,21215.49,0.877,0,8,18,0
52,37087.96,1,15243.81,0.411,0,19,8,1
59,50425.15,2,7821.98,0.3102,1,13,27,0
52,52556.04,2,9776.4,0.372,0,17,13,1
24,53735.94,0,10601.69,0.0,1,28,26,1
50,28941.08,0,12477.87,0.0,0,21,17,1
57,31653.81,0,17144.4,0.0,0,7,5,1
43,34435.68,1,20721.4,0.6017,1,1,32,0
59,41416.79,0,14591.05,0.0,0,8,24,1
35,46307.8,4,15129.0,1.3068,0,6,12,0
63,55621.34,1,16146.45,0.2903,2,29,22,0
49,32278.52,2,10872.76,0.6737,0,28,32,1
56,20984.71,1,7596.86,0.362,1,17,20,0
33,77336.15,2,956.5,0.0247,0,26,33,1
52,28028.2,1,9438.81,0.3367,2,15,16,0
27,57544.86,1,18785.16,0.3264,3,20,9,0
42,45469.0,3,9376.71,0.6187,0,4,22,0
48,48769.58,2,13097.54,0.5371,1,22,1,0
22,44976.74,1,18731.45,0.4165,2,28,34,1
62,39227.37,1,19165.52,0.4886,1,14,13,1
26,51959.58,0,6363.74,0.0,2,4,1,1
48,38421.19,1,22976.47,0.598,1,10,18,0
48,62494.54,1,24018.8,0.3843,1,29,15,1
64,53526.62,2,5961.2,0.2227,0,21,24,1
64,53993.91,0,8409.31,0.0,1,13,0,1
40,37393.15,1,24528.73,0.656,0,24,1,0
50,41454.68,3,13825.17,1.0005,0,18,26,0
31,27181.31,3,500.0,0.0552,0,2,1,0
48,39704.76,2,3802.55,0.1915,3,23,29,1
45,29451.36,3,13005.04,1.3247,1,9,9,0
59,64696.03,2,5695.66,0.1761,1,27,18,1
53,45758.04,0,11692.61,0.0,0,5,15,1
21,47557.46,2,15259.17,0.6417,1,27,12,0
47,41622.8,0,26698.04,0.0,2,25,7,1
33,47963.68,1,12676.37,0.2643,0,2,30,1
61,81973.16,1,23580.33,0.2877,2,1,24,1
23,40497.9,0,26430.08,0.0,0,12,20,1
59,35243.8,0,26474.48,0.0,1,17,28,1
26,52945.4,1,17278.04,0.3263,0,1,5,1
28,10000.0,1,500.0,0.05,0,14,17,1
47,45959.35,1,18686.6,0.4066,4,4,34,0
29,39424.31,1,23387.2,0.5932,0,14,26,0
57,30115.3,1,14351.46,0.4765,1,27,4,0
53,52616.37,0,28956.67,0.0,1,20,6,1
62,45809.83,2,21878.67,0.9552,0,16,9,0
64,17963.87,2,19546.19,2.176,2,1,9,0
44,35302.06,0,23691.05,0.0,1,17,27,0
35,10000.0,0,17666.96,0.0,0,14,9,1
52,49399.04,0,500.0,0.0,1,19,34,1
52,49249.49,2,11006.89,0.447,1,22,34,0
44,33100.77,2,24577.34,1.485,1,2,19,0
61,53101.69,0,8539.27,0.0,0,4,12,1
32,25762.52,0,13212.22,0.0,0,10,10,1
59,30502.24,0,6641.31,0.0,2,8,18,0
22,51257.86,0,29271.38,0.0,1,4,27,1
23,34670.0,1,28451.94,0.8206,0,24,3,1
57,44060.15,2,7929.05,0.3599,1,0,18,0
37,36545.26,1,16178.38,0.4427,3,24,13,0
22,38836.03,1,9556.05,0.2461,2,13,30,0
22,39491.64,0,19919.56,0.0,2,4,27,0
48,34398.65,0,19077.46,0.0,3,7,18,0
43,49536.75,2,21493.64,0.8678,2,20,0,0
57,35581.07,1,17655.35,0.4962,1,13,22,0
52,45235.3,0,38483.25,0.0,1,27,27,1
53,34069.02,1,6776.61,0.1989,0,15,3,1
21,21985.52,0,1315.17,0.0,0,5,17,1
39,58686.53,3,11855.28,0.606,1,7,24,0
22,52492.9,1,2456.09,0.0468,0,1,17,1
64,79330.23,0,3060.3,0.0,1,18,5,1
46,29340.41,0,6989.48,0.0,2,26,18,1
52,41865.59,2,7622.49,0.3641,0,8,11,1
26,43072.39,2,7363.06,0.3419,2,4,24,0
52,59840.54,0,19145.75,0.0,2,4,34,1
24,37393.38,1,10950.49,0.2928,0,24,0,1
31,27434.37,1,13563.88,0.4944,0,25,4,0
37,63117.14,2,22153.86,0.702,0,18,0,1
58,40250.25,1,8869.42,0.2204,2,29,7,0
44,58179.65,1,12883.63,0.2214,1,3,17,0
25,56432.98,1,17926.08,0.3176,0,15,8,1
54,44551.64,2,500.0,0.0224,1,15,4,1
26,42385.29,3,500.0,0.0354,0,15,3,1
42,39126.53,1,17768.94,0.4541,0,6,28,1
31,44772.1,1,18936.11,0.4229,0,17,0,1
36,57946.5,1,31513.76,0.5438,2,23,29,0
53,33053.4,1,16264.76,0.4921,0,20,0,1
29,46632.68,1,21557.92,0.4623,2,0,2,0
26,28220.53,0,13436.22,0.0,0,2,21,1
36,30088.41,0,17377.82,0.0,2,24,7,1
49,44535.92,4,28338.05,2.5451,1,20,17,0
23,15597.63,1,500.0,0.0321,1,7,24,1
40,75908.38,1,18308.93,0.2412,1,0,19,0
56,27104.1,1,32084.69,1.1837,0,29,30,0
39,44398.67,1,17256.27,0.3887,0,6,29,1
46,62523.27,1,28204.58,0.4511,1,6,15,0
23,32056.42,1,9966.3,0.3109,0,7,1,0
39,10459.55,1,14743.62,1.4095,0,18,16,0
40,38325.81,1,15268.2,0.3984,1,16,9,0
52,31877.69,1,500.0,0.0157,0,10,6,1
27,10854.4,3,5654.58,1.5627,0,14,8,0
61,49273.35,1,6225.0,0.1263,2,8,16,0
53,48106.41,0,21576.53,0.0,2,16,8,0
60,62134.9,0,21977.22,0.0,1,10,8,1
59,28187.66,1,17592.29,0.6241,0,5,23,0
38,21012.95,1,21592.82,1.0275,1,8,10,0
60,38899.15,0,13686.8,0.0,0,29,7,1
21,43674.86,1,24615.45,0.5636,0,17,24,1
31,58820.24,1,15070.31,0.2562,1,19,1,1
48,66158.52,2,15462.91,0.4674,2,1,9,0
45,63217.19,1,12875.26,0.2037,0,3,23,1
43,49148.16,2,20475.6,0.8332,1,17,15,0
51,56992.49,2,11630.41,0.4081,0,27,18,1
50,35392.6,0,22811.45,0.0,0,0,30,1
62,47525.93,3,5942.81,0.3751,1,10,10,0
55,27130.65,2,6208.67,0.4577,0,2,5,0
27,45940.28,2,20499.41,0.8924,0,7,5,0
36,46329.7,0,14291.65,0.0,0,4,31,1
46,70831.93,0,11368.87,0.0,2,19,12,1
22,41565.26,0,22120.46,0.0,0,20,2,1
21,46350.64,1,10141.91,0.2188,0,21,34,1
32,48554.42,1,13398.39,0.2759,1,21,16,0
25,38177.7,1,26193.82,0.6861,1,4,2,0
57,32962.61,0,27313.14,0.0,1,27,33,1
52,64482.17,0,27579.19,0.0,0,10,11,1
29,30286.24,1,12742.99,0.4207,1,11,23,0
61,25081.23,0,24845.62,0.0,0,21,5,1
55,55203.98,2,7408.38,0.2684,1,8,10,0
39,62367.22,4,7744.78,0.4967,0,20,26,1
36,38228.86,0,500.0,0.0,0,12,23,1
23,38459.2,2,28382.95,1.476,1,21,17,0
40,49238.15,4,8088.16,0.6571,1,19,26,0
44,34382.21,0,13987.74,0.0,0,28,20,1
53,33274.31,1,7717.41,0.2319,0,2,33,0
44,58193.89,0,20561.32,0.0,1,12,32,1
31,54106.97,1,11994.93,0.2217,0,27,17,1
28,64667.38,0,4561.46,0.0,0,21,2,1
56,26211.16,0,18533.3,0.0,1,10,23,1
58,37463.06,2,3530.16,0.1885,1,10,0,0
60,49217.69,0,8300.75,0.0,0,20,5,1
40,31115.69,2,500.0,0.0321,1,19,18,1
55,54625.31,1,3608.34,0.0661,3,20,21,0
45,63369.41,3,16428.23,0.7777,1,6,7,0
55,36249.63,4,500.0,0.0552,2,16,4,0
45,45578.88,0,3150.83,0.0,0,15,8,1
49,66834.28,2,14981.05,0.4483,0,13,20,1
38,71989.07,0,10651.14,0.0,1,0,27,1
38,56187.02,1,30936.29,0.5506,0,10,3,1
22,53901.44,1,29671.17,0.5505,0,12,23,1
55,32193.95,1,8056.62,0.2502,1,0,7,0
36,50388.14,1,19457.1,0.3861,1,1,16,0
61,53352.31,0,20994.26,0.0,2,8,33,1
56,41844.45,2,10220.17,0.4885,1,12,19,0
53,36078.36,3,3035.67,0.2524,0,4,15,1
24,25780.53,2,14901.61,1.156,1,29,9,0
53,18934.05,0,13617.23,0.0,0,8,33,1
34,15781.75,1,11513.88,0.7295,0,12,9,0
41,53691.64,0,18538.53,0.0,0,4,29,1
40,47215.49,1,8994.16,0.1905,1,14,29,1
28,37742.83,1,5784.02,0.1532,2,29,24,0
27,40028.16,3,15872.66,1.1896,0,6,6,0
23,48157.06,3,18087.76,1.1268,1,13,19,0
37,42531.55,2,5586.84,0.2627,0,29,16,1
53,24891.7,0,22424.72,0.0,0,15,2,1
32,58695.0,1,836.15,0.0142,2,5,25,1
42,49561.89,1,10375.09,0.2093,0,1,9,1
42,48988.48,2,12935.93,0.5281,2,15,33,0
50,57563.44,3,9910.21,0.5165,1,18,13,0
58,32795.32,1,10479.52,0.3195,1,4,7,0
58,63205.97,3,29968.6,1.4224,0,3,26,0
28,42899.36,1,8192.93,0.191,1,13,9,1
47,58328.98,0,34529.77,0.0,1,26,14,1
47,56016.74,2,18497.01,0.6604,2,5,21,0
54,29417.97,1,15736.44,0.5349,1,7,30,0
41,52543.51,2,18809.92,0.716,1,23,1,0
50,49894.12,2,35239.42,1.4125,1,2,30,0
53,45454.67,3,7051.26,0.4654,0,3,13,0
48,43584.42,0,6036.66,0.0,0,0,9,1
53,43711.6,3,8961.07,0.615,0,1,29,0
25,57190.34,2,15257.15,0.5335,2,12,14,0
39,53668.66,2,1193.83,0.0445,0,8,13,1
24,45457.18,3,15178.71,1.0017,1,11,30,0
55,22620.96,0,28548.38,0.0,2,9,28,0
37,52416.65,1,16211.26,0.3093,0,9,26,1
64,55854.2,2,12658.52,0.4533,0,17,20,1
48,79506.15,0,10054.72,0.0,1,11,8,1
50,61131.5,2,22188.09,0.7259,1,21,19,0
49,16512.35,1,8393.34,0.5083,2,29,34,0
26,46176.44,1,29771.17,0.6447,1,15,14,0
55,72170.63,2,30466.88,0.8443,1,22,23,0
61,54353.23,0,17054.01,0.0,0,5,15,1
57,49929.78,1,14907.88,0.2986,2,23,10,0
44,58503.43,0,23245.28,0.0,1,24,7,1
49,35664.33,2,23758.39,1.3323,0,23,2,0
51,52171.35,2,8552.07,0.3278,0,20,18,1
55,41242.98,2,10787.56,0.5231,0,23,2,1
53,44705.65,1,4421.22,0.0989,0,9,24,1
41,57426.82,2,18272.52,0.6364,0,14,10,1
52,31099.3,2,20333.02,1.3076,0,25,15,0
43,64319.74,2,4200.59,0.1306,0,8,16,1
53,38657.82,0,11358.41,0.0,1,29,23,1
23,48909.94,1,4221.97,0.0863,1,23,16,1
38,23992.38,0,7809.6,0.0,1,1,19,0
45,55797.56,3,19408.14,1.0435,2,17,21,0
62,66697.56,0,9132.14,0.0,0,11,5,1
51,37280.38,0,12593.39,0.0,0,2,6,1
23,28346.65,2,1981.51,0.1398,1,6,13,0
60,49169.75,0,16495.92,0.0,1,8,10,1
44,66822.16,1,14645.81,0.2192,2,7,11,1
52,23252.15,1,9168.33,0.3943,1,24,4,0
42,28405.38,1,13487.89,0.4748,2,5,4,0
43,38187.16,0,16442.36,0.0,1,0,19,1
22,32694.84,1,8481.05,0.2594,1,13,14,1
47,32742.22,0,3189.9,0.0,0,15,25,1
62,13588.19,0,29444.6,0.0,1,27,32,1
22,53835.85,0,9933.82,0.0,1,15,29,1
46,50080.81,2,14225.92,0.5681,0,3,23,0
37,19517.26,1,23086.72,1.1828,1,28,22,0
60,66857.94,3,43232.44,1.9399,1,5,8,0
53,70216.38,3,5044.11,0.2155,0,14,2,0
29,33736.42,2,18598.62,1.1026,1,27,6,0
63,62498.23,3,9339.58,0.4483,0,21,21,1
59,36405.03,1,10689.68,0.2936,0,7,13,0
49,47716.75,0,9238.3,0.0,2,0,28,0
62,32463.57,1,5994.76,0.1847,0,12,15,1
46,78213.77,1,14669.67,0.1876,1,26,33,1
55,40559.74,1,3203.98,0.079,1,17,9,1
45,46896.74,1,22574.46,0.4814,0,17,6,1
44,34680.94,0,15440.02,0.0,1,12,24,1
33,72919.73,0,18379.48,0.0,1,21,26,1
27,73299.22,0,11270.49,0.0,0,29,14,1
56,69463.94,1,12062.37,0.1736,1,13,31,1
40,59346.61,1,17300.51,0.2915,1,10,27,0
21,35628.16,3,5687.59,0.4789,1,6,8,0
28,57417.75,0,12136.08,0.0,0,17,6,1
36,44894.36,1,8123.09,0.1809,2,20,15,1
34,64686.13,0,7875.45,0.0,1,21,25,1
32,61738.53,0,500.0,0.0,0,3,34,1
43,35261.02,1,25714.61,0.7292,0,16,16,0
35,59217.39,1,9507.69,0.1606,0,18,22,1
48,55230.52,1,24307.01,0.4401,0,13,7,0
54,10000.0,0,23550.34,0.0,1,9,1,0
22,57014.05,1,4712.0,0.0826,1,24,30,1
52,38523.06,2,6292.71,0.3267,0,28,31,1
43,31709.36,1,35484.02,1.119,1,5,28,0
42,32351.09,1,29007.41,0.8966,1,17,2,0
45,42971.36,1,14747.85,0.3432,0,24,7,1
42,52200.89,4,17058.98,1.3072,0,3,1,0
42,24518.07,1,9953.23,0.4059,1,10,30,0
62,47847.72,0,18458.82,0.0,2,12,19,0
26,53651.37,0,9262.54,0.0,2,7,28,0
35,72927.09,1,500.0,0.0069,0,9,16,1
63,28849.65,1,4427.55,0.1535,0,22,9,1
57,39755.82,1,15168.74,0.3815,0,27,21,1
53,48924.94,1,5951.46,0.1216,0,10,5,1
28,62211.14,3,14461.78,0.6974,2,2,33,0
64,40436.64,1,6402.71,0.1583,2,14,30,0
64,62979.62,1,8741.17,0.1388,0,7,11,1
25,15939.57,0,21825.32,0.0,2,19,11,0
59,26199.78,0,16979.84,0.0,0,17,15,1
24,50229.67,3,14922.68,0.8912,0,26,24,0
26,23837.63,0,22031.71,0.0,0,20,21,1
52,27382.94,2,18844.87,1.3763,1,0,26,0
50,37083.35,1,26572.51,0.7165,0,28,23,1
55,56571.58,2,11321.13,0.4002,2,23,11,1
60,16560.53,1,11562.92,0.6982,1,29,17,0
36,47554.48,0,4591.13,0.0,1,7,15,1
33,60494.46,0,11568.15,0.0,0,2,3,1
62,42075.82,5,22718.16,2.6996,2,0,11,0
50,39467.55,1,25399.9,0.6435,1,19,32,0
39,51026.57,1,22682.44,0.4445,1,24,21,1
37,42118.33,0,646.47,0.0,1,15,17,1
39,65857.5,2,23665.16,0.7187,1,8,32,0
48,28328.8,0,500.0,0.0,2,16,26,0
46,44225.34,0,22184.94,0.0,1,26,18,1
57,48085.3,0,12057.72,0.0,2,15,13,1
46,39323.19,0,20620.27,0.0,1,22,24,1
43,10000.0,2,4340.41,0.868,2,5,33,0
29,42586.43,1,24369.34,0.5722,1,29,23,1
32,58502.65,0,3280.2,0.0,0,22,22,1
21,56671.64,2,9652.36,0.3406,1,6,4,0
21,50321.68,0,7015.24,0.0,1,23,23,1
54,28532.06,2,965.72,0.0677,0,15,4,1
52,50929.64,0,15756.22,0.0,1,7,5,1
45,36398.43,1,29448.71,0.809,1,9,3,0
60,50302.24,0,36335.24,0.0,0,13,9,1
21,46822.58,1,15777.25,0.337,0,10,0,0
36,30354.37,1,23933.45,0.7884,0,1,20,0
59,31613.16,0,16856.76,0.0,1,11,2,1
25,50325.34,0,18991.07,0.0,2,27,30,1
42,41683.3,0,12262.81,0.0,1,27,26,1
49,32395.78,1,16560.62,0.5112,0,19,16,1
23,31157.55,1,19299.83,0.6194,2,19,22,0
32,40442.54,1,10372.32,0.2565,1,12,12,1
46,68521.57,0,14380.05,0.0,0,14,26,1
36,37108.83,1,14532.56,0.3916,2,26,19,0
57,44789.71,3,21611.23,1.4475,1,25,12,0
42,46524.66,1,6471.74,0.1391,0,11,23,1
49,28034.6,0,14587.66,0.0,2,12,2,0
34,18557.51,1,30296.04,1.6325,0,7,9,0
48,29600.39,1,24312.48,0.8213,0,15,0,0
25,48706.16,2,25793.43,1.0591,1,29,12,0
50,46309.97,2,15195.45,0.6562,3,28,13,0
25,55536.1,0,17567.98,0.0,1,28,32,1
32,46451.25,1,23017.89,0.4955,0,2,1,0
36,43356.76,2,27482.04,1.2677,0,27,1,0
46,35939.82,2,500.0,0.0278,0,28,30,1
46,58269.1,1,4476.47,0.0768,1,12,3,1
41,31212.3,4,25475.55,3.2647,0,11,33,0
59,28344.01,2,12784.89,0.9021,1,18,18,0
56,53505.83,4,9626.23,0.7196,1,28,8,0
53,25002.64,2,4966.71,0.3973,0,1,23,0
50,81221.86,1,10559.87,0.13,1,0,12,0
57,46199.9,2,3781.05,0.1637,1,7,29,0
43,50218.59,1,31728.75,0.6318,0,29,18,1
30,32873.7,2,14820.51,0.9016,0,8,9,0
25,40271.03,0,14536.4,0.0,0,24,13,1
56,38598.64,2,19704.61,1.021,0,26,19,0
54,36872.48,3,22698.76,1.8468,1,7,3,0
51,54494.43,2,22567.11,0.8282,0,20,4,0
30,38256.36,1,23588.98,0.6166,0,16,31,0
39,60262.52,1,9953.24,0.1652,4,8,5,0
52,84947.74,0,12617.07,0.0,0,5,13,1
21,40566.88,0,21152.25,0.0,1,27,5,1
25,47284.73,0,10780.89,0.0,1,14,13,1
24,50692.23,1,14959.15,0.2951,2,22,11,0
36,72172.57,3,18190.11,0.7561,1,23,26,1
44,43760.28,3,21281.48,1.4589,0,12,25,0
36,32564.75,2,778.55,0.0478,0,20,11,1
22,26004.89,1,20717.97,0.7967,0,21,7,0
48,44130.24,1,13130.21,0.2975,0,11,9,1
52,38274.3,1,20659.66,0.5398,1,12,15,0
47,75150.14,1,21215.45,0.2823,1,6,25,0
40,71547.94,2,27863.32,0.7789,0,22,7,1
44,29484.41,1,25827.63,0.8759,4,17,28,0
32,34338.6,2,25772.57,1.501,0,13,19,0
55,46106.55,1,26549.36,0.5758,3,10,16,0
53,65958.4,2,17331.03,0.5255,1,27,18,0
53,45855.2,0,15257.48,0.0,2,13,16,0
63,35291.39,0,21982.54,0.0,0,16,0,1
57,44116.77,0,20856.65,0.0,0,23,28,1
32,35572.73,1,12527.47,0.3522,0,20,13,1
23,54037.16,2,18238.59,0.675,0,25,16,0
21,34364.49,4,14719.23,1.7133,1,1,12,0
53,37343.46,0,8168.54,0.0,0,18,28,1
60,62429.01,1,25323.69,0.4056,0,15,33,1
30,33474.53,1,15441.59,0.4613,1,21,26,1
63,23308.08,2,31389.67,2.6933,0,9,32,0
64,46424.91,1,1996.06,0.043,0,21,28,1
49,39592.9,4,10545.77,1.0654,0,7,18,0
33,52671.23,0,15261.11,0.0,1,20,23,1
32,49762.08,2,24099.05,0.9686,1,4,13,0
51,44521.22,1,18195.75,0.4087,0,6,4,0
22,44084.35,1,17483.78,0.3966,1,25,23,1
55,33962.12,0,5981.89,0.0,1,12,33,1
43,46250.21,1,5744.47,0.1242,1,15,30,1
37,58219.27,0,17580.04,0.0,1,29,29,1
46,30398.3,1,4087.15,0.1344,0,4,8,1
28,44919.04,1,10744.98,0.2392,1,15,26,1
49,60575.83,1,19007.34,0.3138,1,14,27,1
46,52581.36,3,7141.41,0.4074,0,8,25,1
30,64642.09,1,27842.85,0.4307,1,21,17,1
46,36477.87,1,24791.49,0.6796,0,22,7,0
54,17538.47,1,2428.64,0.1385,0,11,17,0
61,48009.78,2,7541.03,0.3141,3,7,19,0
27,50438.56,0,500.0,0.0,2,12,31,1
24,65526.33,3,8739.27,0.4001,1,4,28,0
31,62822.19,1,21131.11,0.3364,0,13,17,1
49,53051.15,0,11688.84,0.0,0,15,6,1
56,56480.85,0,18686.38,0.0,0,10,0,1
45,42122.68,1,2821.33,0.067,1,19,27,1
41,26713.28,0,21383.8,0.0,0,11,32,1
56,46765.82,2,10559.13,0.4516,0,14,3,1
30,59738.6,1,15097.36,0.2527,1,23,19,1
57,54845.41,0,14257.0,0.0,1,11,30,1
29,57507.11,0,4827.61,0.0,0,25,27,1
44,38583.66,1,5775.33,0.1497,0,8,2,1
55,41016.8,0,22742.36,0.0,1,0,5,0
55,52251.38,2,18191.94,0.6963,0,2,22,0
56,36802.39,1,23400.39,0.6358,1,11,6,0
38,37264.24,1,17597.27,0.4722,0,19,0,1
59,49469.73,1,16143.93,0.3263,1,12,5,0
52,56413.57,1,1191.92,0.0211,1,22,23,1
44,42007.07,1,12837.07,0.3056,2,5,23,0
43,27552.16,5,14780.93,2.6823,0,9,28,0
52,33962.94,0,30624.86,0.0,0,9,31,1
57,48055.08,1,20495.65,0.4265,0,15,24,1
